user_name,comment
arululm,Manusia yang dinafkahi dari duit haram hasilnya melebihi setan.
dimaspashaofficial,"Saya Tunggu Klarifikasi dari Rektor  , krn ada nama kampus disitu, slide terakhir.. Terimakasih Netizen yg budiman"
mazmiat,"katanya jaksa sm terdakwa ko online ya, masih pandemi kah"
lalarfy06,"Awww jadi hayang nele Bentukan Lalakina, karunya teu payu ka awewe Maksa nitah cewe na bertahan, Ngacaa atu geus goreng benget goreng Pamake, Komo baru Jeung goreng eusi dompet mah, Ulah awewena NU titah bunuh diri, dia we Paeh dabeweh gunaan wkwkwk Karunyaaaaa, Lebih aneh Kana pengadilan anu teu narima laporana"
nabe_wong,Pelaku anak pejabat apa min..
ilhamali.rzqi,Anak pejabat??
yuandaranis,". Ga bsa gw bayangin kalo korban itu adik gw.. Gw sih Nekat samperin kerumahnya, bawa golok atau pisau daging sabi. Gw mau Tangan atau kakinya aja sih buat pajangan di kamar. Sama pelernya buat gantungan kalung gw"
faraashania,"???????? ?????????? ???????????? ?????????? ?????????? ???????????? ?????????????? ????,???????? ???????? ???????? ,??????????????????????,?????????? ???????? ?????????????? .?????????????? ?????? ???????? ???????? ???????????? ???????? ?????????? ?????? ???????? ?????????? ?????????? ???????? ??????????-?????????? ?????????? ?????????????? ??????..."
mayadwiims,"Nih guys berita yg lagi trending di twitter, mahasiwa untirta** pelaku dan korban nya"
asepsyahrulm,"Bu  tolonggh ini ada diskriminasi kaya gini, harus turun tangan nih Bu ??"
imammujahidzulkarnain,Jeng saha eta duit samilieur na?
adenrkoswara,eta kumaha aduuhh
_adtyarmdhn19,parah bre lu mh anak orang
marianairlestari,"Ada ya anak pejabat tampilannya jamet begitu banyak tingkah, eh astaghfirullahhh????"
rifamn,Baca lengkapnya di twitter sejak kecil sudah c*b*l ngeri amattt
hello.arip,Gila sih mal ini
dimasfaudi17,gmana nihhh guysss?
tbfurqonn,Pendidikan kaya orang iya lo ni brooo klakuan atah????
alung_xixi,hati hati ya
dunand_id,Anak pejabat nih kayaknya hmm
cuzimclever,udah mulai up kasusnya
kedennisaja,gmna bang padel ??
hai_ril08,Semoga mati ??
pramudiyawan_,Pelaku orang panimbangjaya?
ariapriansyah43,izinnn abangkuuuuuu ????????????
agungfauziii_,Tanggapanna kmha dak
xagnpr_,cowo Gaada otakkkkkkk lo
mrainierrf,Kasusnya ini
dmsptr28,kudu di ulti ??
wildanmutaqin_,"Terimakasih kawan2, yang sudah lantang menyuarakan keadilan untuk korban, keadilan bangsa kita hanya milik penguasa, tapi ketika kita kompak menyuarakan  sama-sama membela dan mengambil peran alhamdulilah, media menjadi senjata kita, kita kawal sampai selesai!, BantuLawan KitaBersamaKorban"
yuniilhamsetia,Usut tuntas kasus ini ga ada istilah ank pejabat gaspoll karungin
anita.mlyni,"6 tahun berasa kurang puas bngt, sedangkan korban trauma, dibikin hancur masa depannya, dibikin malu.. diancam bahkan di aniayaya oleh pelaku loh . Apalagi selama 3 tahun menderita..ga kebayang jadi si korban gimana mental yg rusak skrng"
rreztianjani,"udah ada bukti chat, video,  perlu bukti apa lagi sih pak... ya allah meni dipersulit bapak jaksaa... jangan jangan jangan jangan lah ??"
din_setiadin,Pelaku ngarana ALWI HUSEN MAULANA anak Kadis DLH pandeglang alm
inpopandeglang,"Yes akhirnya di up,sudah viral Twitter,di spill jaksa nya"
rizki.hikmatulloh,buktiin kalo Sila ke 5 Itu memang Ada
shakenlemonadetea,"Kt saya juga bukan soal MAU sama MAU tp ini SOAL KEKERASAN DAN PEMERASAN! Aneh ngerti hukum ko berbelit belit banget permasalahin kasus. Jangan cuma pasal ITE aja dong, tapi kan ini ada pengancaman dan pemerasan. Bentar lagi ada video permohonan maafkah? Kita tunggu??"
stepxboys,Waduh cuman ITE? Jangan sampai hukum ite karena pelaku bisa membela dengan hukum perdata untuk keluarga korban terus lanjutkan masuk ke tuntutan kekerasan
aanfaishalj,"Jangan kendor bang sekwil, kawal sampai tuntas??"
heyyast_,Y’TEAM MERESAHKAN
yu.trlstr,alwi husen maulana yatim belagu banyak gayaaa cuih so jagoooan????
brewww711,Inilah mengapa islam melarang sesuatu yg haram masuk kedalam tubuh.
kh1000erin,yaallah rasanya pengen main hakim sendiri tapi sadar kalo mahasiswa fakultas hukum ??
raflyfauzant_,Mantab bang kudel tegakkan keadilan ?
irmayunita28_,Jadi si pelaku ini sudah di tangkap min
iballl.ee,"Weh alwi anak nya pejabat, harta nya dari masyarakat itu kan?, anak nya yang bermasalah turun masalahnya ke keluarga nya"
alfarez_n,Katanya pelaku anak kuat Dinasti Pandeglang yah ? ??
rudiyanajaya21,"Anak Mantan Kadis DLH ? Boa2 doelu na Loba Ngadahar Sampah, trs Ank na jdi RUNTAH!"
yogafey_,Kudu viral heula hukum kuari mah barudak karak serius ??
kaherr__,"Angpun aing mah ie jelema, ngisin ngisin ken pandeglang bae ??"
risyadmaulana_,Yang orang Pandeglang itu kan?
hazzaima,kudellll bukan sii?
husnilaw,"Mantap. Pendampingan oleh advokat dari posisi korban juga penting, peran advokat sebagai penegak hukum di posisi ini memastikan, mengawal penegak hukum lainnya agar bekerja secara profesional. Semoga hakim memvonis maksimal terdakwa, apabila vonis ringan jaksa harus banding, tetap konsisten dan terarah yo mas ??   dalam pendampingan hak hukum korban . Bravoo??"
yovtrash,Terus biar nyaho di sel kaya gimna ckckck
ronibsantoso,Spill pelakunya....
septihryntii,Apakah ini sodaraan ama Riko yg ngebunuh alm alisaaa
nadaarikha,pasti eta pelakuna goreng patut jeng delaga
ayuniamaliah_,Anjaayyy nakk untircoyyyy??????
ulfaa1717,khawatir gini nih inget ga ?
bukansani,saya sebagai calon ustadz malu melihat tingkah laku beliau??
jansenlaory,Serem amat sih beritanya??
dindaanggraenii,Coba bapak- bapak pengacara ku yg hebat2 nih d up
nuyyyyyyy___,nih ig nya guysss silahkan silaturahmi
anjni33,astagfirallah
seblak_baper13,up
fanjovan_,Ini pelaku nya min
its.queenalvii,Ulah di bere ampun dak !!!??????
de.juneeeeee,"PELAJARAN buat adik2 perempuan yang lain, SECINTA-CINTA nya kalian sama pacar . PLEASE JANGAN TOLOL dgn terus berada di zona Toxic Relationship. Bukan manusia itu mah setan. Kalian berhak bahagia dgn masa muda kalian. Yg rugi diri kalian sendiri, Keluarga yg berjuang susah payah besarkan kalian menanggung malu. Please be smart ya ?? Kalian berhak bahagia dgn cara lain."
winddyuliansyaaa,"mirip kisah siapa ya?, coba dulu dah paham twiter??"
alditaher_24,pak Hotman lihat pak
as_rahman7,"Biasanya viral dulu sih baruuu ada perubahan, ea ?? Xixixi"
the.funkyjunkie,BIADAB!KOMUK KEMEM SUSAH SI
haji_ossa,"Inisial na AHM, menurut ingpoh dia itu anak mantan pejabat yg udah pensiun, besok selasa akan ada sidang lagi di PN Pandeglang dgn agenda PEMBACAAN DAKWAAN, mudah²an terdakwa hadir."
aldoali___,"Awww takut ma cowonya, takut di cikca"
muktimohammad,Gila gila yaAllah
jamaaaaaaaaaal_,??
jundandiput,"Spill ig pelakunya dong, mau silaturahmi"
randyesadharmawan,untirta lagi aja...
_adondon,"cari tahu info nya, gue pengen silaturahmi"
ulumm.f,Gebugan bae lah
yusrinadirayati,kenal kayane mah si a ewin karo wonge
mayasoffa,Satu fakultas sama kamu  ??
gits_98,Oh Pandeglang wkwkwk
putra_aryanto8,kasih tanggapan tentang kasus ini
cinnnnn__dy,ingt ka sia aing ma mal??????
adelamutiarachyn__,nih min nih orgnya wk
